                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.66388,                 4.1681,                0.43399,                  0.424,                0.99649,                0.97894,                0.93626,                0.97396,                0.80974,                0.57614,                 0.4964,                0.41834,                0.16425,                0.68127,                 3.8901,                0.45728,                0.39228,                 1.0329,              0.0014357,              0.0014357,              0.0014357
                     60,                 0.6509,                 4.1079,                0.43475,                0.42308,                0.98866,                0.97459,                0.93835,                0.97182,                0.80608,                0.56654,                0.47955,                0.41423,                0.17088,                0.70076,                 3.9113,                0.45788,                0.40106,                 1.0419,              0.0014258,              0.0014258,              0.0014258
                     61,                0.64228,                  4.127,                0.43289,                0.41638,                0.98052,                0.97847,                0.93957,                 0.9731,                0.82315,                0.57253,                0.49065,                0.42987,                0.17554,                0.65819,                 3.8471,                0.45932,                0.38756,                 1.0154,              0.0014159,              0.0014159,              0.0014159
                     62,                0.65187,                 3.9791,                0.43898,                0.41922,                 0.9898,                0.96348,                0.94245,                0.97057,                0.81229,                0.57926,                0.48489,                0.40371,                0.16591,                0.64751,                  3.864,                0.46138,                0.38596,                 1.0023,               0.001406,               0.001406,               0.001406
                     63,                0.63981,                 3.9312,                0.42405,                0.41627,                0.98359,                0.96773,                0.94101,                0.96739,                0.79985,                0.55365,                0.49784,                0.34096,                0.13475,                0.65601,                 3.8052,                0.45812,                0.41329,                 1.0095,              0.0013961,              0.0013961,              0.0013961
                     64,                 0.6438,                 3.9274,                0.42764,                0.41533,                0.98768,                0.97648,                 0.9223,                0.96568,                0.80658,                0.58658,                0.48058,                0.39308,                0.16564,                0.67049,                 3.9589,                0.44666,                0.40385,                 1.0303,              0.0013862,              0.0013862,              0.0013862
                     65,                0.64352,                 3.8904,                0.43116,                0.41407,                0.97715,                 0.9794,                0.92662,                0.96644,                0.81374,                0.57369,                0.49496,                0.41384,                0.16986,                0.66463,                  3.737,                0.45975,                0.39315,                 1.0088,              0.0013763,              0.0013763,              0.0013763
                     66,                0.62911,                 3.7658,                0.41942,                0.40712,                0.97762,                0.96887,                0.94056,                0.97094,                0.81333,                0.58188,                0.49784,                 0.4092,                0.17453,                0.66951,                  3.732,                0.45204,                0.39784,                 1.0128,              0.0013664,              0.0013664,              0.0013664
                     67,                0.63793,                 3.9788,                0.42717,                0.41209,                0.98928,                0.97752,                0.94101,                0.97022,                0.81239,                0.57805,                0.49353,                0.41748,                0.17683,                0.67109,                  3.915,                0.46327,                0.40155,                 1.0217,              0.0013565,              0.0013565,              0.0013565
                     68,                0.63709,                 3.9294,                0.43334,                0.40793,                0.98874,                0.98314,                0.93957,                0.97205,                0.81154,                0.55431,                0.47064,                0.40166,                0.18027,                0.66929,                  3.875,                  0.456,                 0.3881,                 1.0155,              0.0013466,              0.0013466,              0.0013466
                     69,                0.65538,                 3.9535,                0.42173,                0.42171,                0.98633,                0.98493,                0.94064,                0.97565,                0.81749,                0.60499,                0.49784,                0.45353,                0.20359,                0.67593,                  3.809,                0.46293,                0.39808,                 1.0193,              0.0013367,              0.0013367,              0.0013367
                     70,                0.64729,                  3.951,                0.42826,                 0.4171,                0.98269,                0.98088,                0.93813,                0.97848,                0.82657,                0.60588,                0.52662,                0.44177,                 0.1849,                0.63776,                 3.6242,                0.46036,                0.36926,                0.99955,              0.0013268,              0.0013268,              0.0013268
                     71,                0.62115,                 3.7372,                0.41795,                0.39698,                0.97063,                0.98145,                0.93381,                0.97123,                0.81604,                0.59012,                0.52374,                0.39572,                0.16396,                0.65273,                 3.6836,                0.46342,                0.38366,                 1.0073,              0.0013169,              0.0013169,              0.0013169
                     72,                0.63604,                 3.7755,                0.41823,                 0.4087,                0.98291,                 0.9811,                0.94532,                0.97387,                0.81757,                0.58838,                0.51799,                0.41274,                0.17507,                 0.6397,                 3.5832,                0.45037,                0.37321,                0.99799,               0.001307,               0.001307,               0.001307
                     73,                0.62461,                 3.7376,                0.41331,                0.39918,                0.97605,                0.97889,                0.93397,                0.97294,                0.81309,                0.58158,                0.51942,                0.40389,                  0.163,                0.64448,                 3.6137,                0.44649,                0.37745,                0.99929,              0.0012971,              0.0012971,              0.0012971
                     74,                0.62276,                 3.7499,                0.41987,                0.40377,                0.97127,                0.97767,                0.94487,                0.97271,                0.81324,                 0.6144,                0.51799,                0.42767,                0.17444,                0.66857,                 3.7107,                0.44643,                0.37595,                 1.0212,              0.0012872,              0.0012872,              0.0012872
                     75,                0.62418,                 3.7605,                0.42222,                0.39955,                0.97498,                0.97943,                0.94388,                0.97439,                0.81893,                0.60566,                0.52375,                0.44197,                0.19142,                0.65106,                  3.628,                0.44185,                0.37529,                 1.0125,              0.0012773,              0.0012773,              0.0012773
                     76,                0.62042,                 3.7582,                0.41229,                0.39471,                0.96878,                0.97484,                0.94783,                0.97629,                0.81422,                 0.6082,                0.52711,                0.45019,                0.19497,                0.66522,                  3.608,                 0.4373,                0.36912,                 1.0241,              0.0012674,              0.0012674,              0.0012674
                     77,                 0.6346,                 3.8744,                0.41884,                0.40883,                0.98028,                0.98347,                0.94166,                0.97829,                0.81799,                0.61112,                0.51511,                0.43725,                0.18553,                0.64569,                 3.6706,                0.44637,                0.36716,                 0.9948,              0.0012575,              0.0012575,              0.0012575
