                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.62937,                 3.9131,                0.42794,                0.40239,                0.98181,                0.98332,                0.93381,                0.97835,                0.80558,                0.59769,                0.52662,                0.43718,                0.17459,                0.68138,                 3.7813,                0.45828,                0.37409,                 1.0326,              0.0013466,              0.0013466,              0.0013466
                     68,                0.63765,                 3.8929,                0.42309,                 0.4114,                0.98119,                0.97464,                0.93996,                0.97563,                0.82159,                 0.5933,                0.50072,                0.46663,                0.20065,                0.67595,                 3.8001,                 0.4528,                0.37544,                 1.0287,              0.0013367,              0.0013367,              0.0013367
                     69,                0.63969,                 3.8619,                0.42581,                0.41122,                0.98165,                0.97754,                0.93919,                0.97914,                0.81667,                0.58275,                0.50791,                0.43318,                0.18617,                0.64281,                  3.662,                0.46017,                0.37057,                0.99456,              0.0013268,              0.0013268,              0.0013268
                     70,                 0.6243,                 3.7019,                0.41395,                0.40041,                0.97153,                0.97046,                 0.9455,                0.97694,                0.81922,                0.61857,                0.53669,                0.47243,                0.19965,                0.65601,                 3.6307,                0.46164,                0.36763,                 1.0141,              0.0013169,              0.0013169,              0.0013169
                     71,                0.62834,                 3.7624,                0.41675,                0.40791,                 0.9783,                0.97627,                0.94693,                0.97748,                0.81543,                0.60877,                 0.5463,                 0.4702,                0.19864,                0.66278,                 3.5888,                0.44946,                0.37092,                 1.0175,               0.001307,               0.001307,               0.001307
                     72,                0.62896,                 3.7377,                0.41432,                0.39936,                0.97874,                0.98141,                0.93957,                0.96988,                0.81558,                0.60621,                0.51511,                0.42421,                 0.1824,                0.66457,                 3.6199,                0.45477,                0.37484,                  1.009,              0.0012971,              0.0012971,              0.0012971
                     73,                0.62226,                 3.7323,                0.41647,                0.39816,                0.97214,                0.97503,                0.94101,                0.97732,                0.82708,                 0.6131,                0.52441,                 0.4822,                0.21727,                 0.6543,                 3.6852,                0.45412,                0.36051,                 1.0138,              0.0012872,              0.0012872,              0.0012872
                     74,                0.62144,                 3.7621,                0.41635,                0.39858,                0.97914,                0.98475,                0.94964,                0.98037,                0.82302,                0.58715,                0.50544,                0.45868,                0.19198,                0.64615,                 3.6986,                0.45782,                0.36273,                  1.005,              0.0012773,              0.0012773,              0.0012773
                     75,                 0.6197,                 3.6785,                0.40643,                0.39441,                0.97188,                0.98057,                0.95396,                0.97886,                0.82345,                0.60285,                0.51109,                0.45873,                0.21136,                0.66272,                 3.5694,                0.44425,                0.35885,                 1.0198,              0.0012674,              0.0012674,              0.0012674
                     76,                0.63227,                 3.7612,                0.41946,                0.40976,                0.98053,                0.96342,                0.94739,                0.97938,                0.82932,                0.60065,                 0.5036,                0.47572,                0.22276,                0.64812,                  3.757,                0.45615,                0.37827,                 1.0016,              0.0012575,              0.0012575,              0.0012575
                     77,                0.61918,                 3.6256,                 0.4064,                0.39943,                0.97166,                 0.9785,                0.93957,                 0.9738,                 0.8201,                0.60431,                0.52958,                0.43811,                0.19197,                0.64024,                 3.5746,                0.44816,                0.37062,                0.99901,              0.0012476,              0.0012476,              0.0012476
                     78,                0.62469,                 3.6774,                 0.4033,                0.39608,                0.96959,                0.97916,                0.93957,                0.97837,                0.81895,                0.60543,                0.54532,                0.46424,                0.19011,                0.64706,                 3.5629,                0.45087,                0.36573,                0.99839,              0.0012377,              0.0012377,              0.0012377
                     79,                0.60667,                 3.5954,                0.41224,                0.38703,                0.95981,                0.98767,                0.93237,                0.97722,                0.83521,                0.60738,                0.51511,                0.48226,                0.22508,                0.63552,                  3.529,                0.45193,                0.36356,                0.98984,              0.0012278,              0.0012278,              0.0012278
                     80,                0.62025,                 3.6872,                0.40833,                0.39781,                0.97088,                0.98071,                0.94532,                0.97693,                0.82577,                0.60229,                0.53381,                0.43466,                0.18847,                0.63368,                 3.5114,                0.45334,                0.37686,                0.99369,              0.0012179,              0.0012179,              0.0012179
                     81,                0.61395,                 3.5785,                0.41563,                0.39041,                0.97915,                0.97463,                0.93979,                0.97588,                0.82355,                0.61173,                0.52086,                0.46421,                0.20336,                0.65052,                 3.5457,                0.44816,                0.37124,                 1.0038,               0.001208,               0.001208,               0.001208
                     82,                0.61351,                 3.5751,                0.40755,                0.39219,                0.97417,                0.97223,                0.95714,                0.97962,                0.81663,                0.61651,                0.51942,                0.44732,                0.17933,                0.65332,                 3.7135,                0.45114,                0.36292,                 1.0107,              0.0011981,              0.0011981,              0.0011981
                     83,                0.62429,                 3.6792,                0.40343,                0.40119,                0.97766,                0.98053,                0.94676,                0.97709,                0.83194,                0.61459,                0.53094,                0.47498,                0.20159,                0.63312,                 3.4694,                0.44732,                0.36173,                0.99771,              0.0011882,              0.0011882,              0.0011882
                     84,                0.61738,                 3.6652,                0.41233,                0.39794,                0.97331,                0.97608,                0.95108,                0.97722,                0.83765,                0.64509,                0.54964,                0.51328,                0.22779,                0.63184,                  3.456,                0.44041,                  0.368,                0.99126,              0.0011783,              0.0011783,              0.0011783
                     85,                0.59969,                 3.6002,                0.41113,                0.38122,                0.96576,                0.98208,                0.94619,                0.97618,                0.83326,                 0.6184,                0.52662,                0.47371,                0.20929,                0.62532,                 3.6299,                0.44937,                0.35998,                0.98704,              0.0011684,              0.0011684,              0.0011684
                     86,                0.59186,                 3.5586,                0.40927,                0.37302,                 0.9564,                0.98202,                0.94291,                0.98054,                0.83137,                0.60584,                0.52806,                0.45687,                0.20798,                0.62812,                 3.4459,                0.44649,                 0.3509,                0.99031,              0.0011585,              0.0011585,              0.0011585
                     87,                0.60998,                 3.5183,                0.39996,                0.38933,                0.97012,                0.97904,                0.94069,                0.97776,                0.82665,                0.61802,                0.54964,                0.47708,                0.21077,                0.64557,                 3.4333,                0.44545,                0.36307,                 1.0064,              0.0011486,              0.0011486,              0.0011486
                     88,                0.60008,                 3.5696,                0.39865,                  0.377,                0.96052,                 0.9836,                0.94925,                0.98078,                 0.8314,                0.63301,                0.54532,                0.50018,                0.23376,                0.64338,                 3.4009,                0.43769,                0.35484,                0.99749,              0.0011387,              0.0011387,              0.0011387
                     89,                0.60341,                 3.4881,                0.39959,                0.38315,                0.96555,                0.97529,                0.95396,                0.97743,                0.83278,                0.62572,                0.54388,                0.47935,                0.21968,                 0.6438,                 3.4247,                0.44417,                0.35497,                 1.0005,              0.0011288,              0.0011288,              0.0011288
                     90,                0.60167,                 3.4388,                0.40268,                0.37944,                0.96433,                0.98942,                 0.9423,                0.97541,                0.83557,                0.62743,                0.53813,                0.50225,                0.22985,                0.63978,                 3.3378,                0.44816,                0.35093,                 1.0009,              0.0011189,              0.0011189,              0.0011189
