                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.47773,                 2.4521,                0.35831,                0.30798,                0.90221,                0.97933,                0.95449,                0.98318,                0.84179,                0.67739,                0.60719,                0.56016,                0.28416,                0.60084,                 2.9251,                0.42182,                0.31934,                0.98515,              0.0004754,              0.0004754,              0.0004754
                     79,                 0.4686,                 2.4102,                0.36079,                0.29906,                0.90115,                0.98203,                0.94335,                 0.9828,                0.85117,                0.67392,                0.60288,                0.57746,                0.29304,                 0.5914,                  2.939,                0.41339,                0.31995,                0.97662,              0.0004556,              0.0004556,              0.0004556
                     80,                0.48204,                 2.5282,                0.35809,                0.30702,                0.90858,                 0.9792,                0.94843,                0.98472,                0.84999,                0.67698,                0.61583,                 0.5902,                0.29987,                0.60996,                 2.8695,                0.41781,                0.31954,                0.99076,              0.0004358,              0.0004358,              0.0004358
                     81,                0.47329,                 2.4337,                0.36135,                0.30007,                 0.9131,                0.98506,                0.94885,                0.98415,                0.85153,                0.68832,                0.61583,                0.58832,                0.30139,                0.59795,                 2.8753,                0.41725,                0.31317,                0.98093,               0.000416,               0.000416,               0.000416
                     82,                0.46196,                 2.3724,                0.35855,                0.29572,                0.90327,                0.97509,                0.95763,                0.98479,                0.85598,                0.67982,                0.61407,                0.58898,                0.30536,                0.59355,                 2.8594,                0.41675,                 0.3117,                 0.9845,              0.0003962,              0.0003962,              0.0003962
                     83,                0.46857,                  2.479,                0.35413,                0.30289,                0.90723,                0.98323,                0.94964,                0.98496,                0.85249,                0.67841,                0.61314,                0.59466,                0.30091,                0.60518,                 2.8456,                0.42262,                0.31516,                0.99552,              0.0003764,              0.0003764,              0.0003764
                     84,                0.46641,                 2.4712,                0.35858,                0.30142,                0.90736,                0.98001,                0.95108,                0.98482,                0.85443,                0.68559,                0.62014,                0.60134,                0.31704,                0.58741,                 2.8456,                0.42203,                0.30848,                0.97824,              0.0003566,              0.0003566,              0.0003566
                     85,                0.45733,                 2.4038,                0.36146,                0.29358,                0.89951,                0.97693,                0.95683,                0.98219,                0.85391,                0.68228,                0.61151,                0.60172,                0.32754,                 0.6007,                 2.8328,                0.41908,                 0.3178,                0.98829,              0.0003368,              0.0003368,              0.0003368
                     86,                0.44157,                 2.3797,                0.36021,                0.28314,                0.88969,                 0.9777,                0.95252,                0.98489,                0.85875,                0.69129,                0.61871,                0.61903,                0.32913,                0.59895,                 2.8522,                0.42008,                0.31323,                0.98403,               0.000317,               0.000317,               0.000317
                     87,                0.46191,                 2.3602,                0.34906,                0.29385,                0.90652,                0.98504,                0.94731,                 0.9797,                0.84703,                0.68673,                0.61439,                0.57948,                0.29602,                0.59327,                 2.8461,                 0.4212,                0.31174,                0.98143,              0.0002972,              0.0002972,              0.0002972
